country,population,weight,date,target,targetValue
India,1295210000,0.04766003824343209,2020-01-23T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-01-23T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-01-24T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-01-24T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-01-25T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-01-25T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-01-26T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-01-26T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-01-27T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-01-27T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-01-28T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-01-28T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-01-29T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-01-29T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-01-30T00:00:00.000+05:30,ConfirmedCases,1.0
India,1295210000,0.4766003824343209,2020-01-30T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-01-31T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-01-31T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-02-01T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-02-01T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-02-02T00:00:00.000+05:30,ConfirmedCases,1.0
India,1295210000,0.4766003824343209,2020-02-02T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-02-03T00:00:00.000+05:30,ConfirmedCases,1.0
India,1295210000,0.4766003824343209,2020-02-03T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-02-04T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-02-04T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-02-05T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-02-05T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-02-06T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-02-06T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-02-07T00:00:00.000+05:30,ConfirmedCases,0.0
India,1295210000,0.4766003824343209,2020-02-07T00:00:00.000+05:30,Fatalities,0.0
India,1295210000,0.04766003824343209,2020-02-08T00:00:00.000+05:30,ConfirmedCases,0.0
